"","time","temp","chlor","mag"
"1",2010-01-06,0.841470984807897,3.1,1
"2",2010-01-11,0.909297426825682,3.2,1
"3",2010-01-16,0.141120008059867,3.3,1
"4",2010-01-21,-0.756802495307928,3.4,1
"5",2010-01-26,-0.958924274663138,3.5,1
"6",2010-01-31,-0.279415498198926,3.6,1
"7",2010-02-05,0.656986598718789,3.7,1
"8",2010-02-10,0.989358246623382,3.8,1
"9",2010-02-15,0.412118485241757,3.9,1
"10",2010-02-20,-0.54402111088937,4,1
"11",2010-02-25,-0.999990206550703,4.1,1
"12",2010-03-02,-0.536572918000435,4.2,1
"13",2010-03-07,0.420167036826641,4.3,1
"14",2010-03-12,0.99060735569487,4.4,1
"15",2010-03-17,0.650287840157117,4.5,1
"16",2010-03-22,-0.287903316665065,4.6,1
"17",2010-03-27,-0.961397491879557,4.7,1
"18",2010-04-01,-0.750987246771676,4.8,1
"19",2010-04-06,0.149877209662952,4.9,1
"20",2010-04-11,0.912945250727628,5,1
"21",2010-04-16,0.836655638536056,5.1,1
"22",2010-04-21,-0.00885130929040388,5.2,1
"23",2010-04-26,-0.846220404175171,5.3,1
"24",2010-05-01,-0.905578362006624,5.4,1
"25",2010-05-06,-0.132351750097773,5.5,1
"26",2010-05-11,0.762558450479603,5.6,1
"27",2010-05-16,0.956375928404503,5.7,1
"28",2010-05-21,0.270905788307869,5.8,1
"29",2010-05-26,-0.663633884212968,5.9,1
"30",2010-05-31,-0.988031624092862,6,1
"31",2010-06-05,-0.404037645323065,6.1,1
"32",2010-06-10,0.551426681241691,6.2,1
"33",2010-06-15,0.999911860107267,6.3,1
"34",2010-06-20,0.529082686120024,6.4,1
"35",2010-06-25,-0.428182669496151,6.5,1
"36",2010-06-30,-0.991778853443116,6.6,1
"37",2010-07-05,-0.643538133356999,6.7,1
"38",2010-07-10,0.296368578709385,6.8,1
"39",2010-07-15,0.963795386284088,6.9,1
"40",2010-07-20,0.745113160479349,7,1
"41",2010-07-25,-0.158622668804709,7.1,1
"42",2010-07-30,-0.916521547915634,7.2,1
"43",2010-08-04,-0.831774742628598,7.3,1
"44",2010-08-09,0.0177019251054136,7.4,1
"45",2010-08-14,0.850903524534118,7.5,1
"46",2010-08-19,0.901788347648809,7.6,1
"47",2010-08-24,0.123573122745224,7.7,1
"48",2010-08-29,-0.768254661323667,7.8,1
"49",2010-09-03,-0.953752652759472,7.9,1
"50",2010-09-08,-0.262374853703929,8,1
"51",2010-09-13,0.670229175843375,8.1,1
"52",2010-09-18,0.986627592040485,8.2,1
"53",2010-09-23,0.395925150181834,8.3,1
"54",2010-09-28,-0.558789048851616,8.4,1
"55",2010-10-03,-0.99975517335862,8.5,1
"56",2010-10-08,-0.521551002086912,8.6,1
"57",2010-10-13,0.436164755247825,8.7,1
"58",2010-10-18,0.992872648084537,8.8,1
"59",2010-10-23,0.636738007139138,8.9,1
"60",2010-10-28,-0.304810621102217,9,1
"61",2010-11-02,-0.966117770008393,9.1,1
"62",2010-11-07,-0.739180696649223,9.2,1
"63",2010-11-12,0.167355700302807,9.3,1
"64",2010-11-17,0.920026038196791,9.4,1
"65",2010-11-22,0.826828679490103,9.5,1
"66",2010-11-27,-0.0265511540239668,9.6,1
"67",2010-12-02,-0.855519978975322,9.7,1
"68",2010-12-07,-0.897927680689291,9.8,1
"69",2010-12-12,-0.114784813783187,9.9,1
"70",2010-12-17,0.773890681557889,10,1
"71",2010-12-22,0.951054653254375,10.1,1
"72",2010-12-27,0.253823362762036,10.2,1
"73",2011-01-01,-0.676771956887308,10.3,1
"74",2011-01-06,-0.985146260468247,10.4,1
"75",2011-01-11,-0.38778163540943,10.5,1
"76",2011-01-16,0.56610763689818,10.6,1
"77",2011-01-21,0.999520158580731,10.7,1
"78",2011-01-26,0.513978455987535,10.8,1
"79",2011-01-31,-0.444112668707508,10.9,1
"80",2011-02-05,-0.993888653923375,11,1
"81",2011-02-10,-0.629887994274454,11.1,1
"82",2011-02-15,0.313228782433085,11.2,1
"83",2011-02-20,0.968364461100185,11.3,1
"84",2011-02-25,0.733190320073292,11.4,1
"85",2011-03-02,-0.176075619948587,11.5,1
"86",2011-03-07,-0.92345844700406,11.6,1
"87",2011-03-12,-0.821817836630823,11.7,1
"88",2011-03-17,0.0353983027336607,11.8,1
"89",2011-03-22,0.860069405812453,11.9,1
"90",2011-03-27,0.893996663600558,12,1
"91",2011-04-01,0.105987511751157,12.1,1
"92",2011-04-06,-0.779466069615805,12.2,1
"93",2011-04-11,-0.948282141269947,12.3,1
"94",2011-04-16,-0.245251985467654,12.4,1
"95",2011-04-21,0.683261714736121,12.5,1
"96",2011-04-26,0.983587745434345,12.6,1
"97",2011-05-01,0.379607739027522,12.7,1
"98",2011-05-06,-0.573381871990423,12.8,1
"99",2011-05-11,-0.999206834186354,12.9,1
"100",2011-05-16,-0.506365641109759,13,1
